N°;EXPEDIENTE;NOMBRE_PROY;CONVENIO;UBIGEO_TOTAL;DEPARTAMENTO;PROVINCIA;DISTRITO;CENTRO_POBLADO;COD_UT;UNIDAD_TERRITORIAL;COD_SUB_TIPO_PROY;SUB_TIPO_PROY;ALIAS_ SUB_TIPO_PROY;RESUMEN_ETAPA;FECHA_INICIO;FECHA_TERMINO;MONTO_APROB;HOGARES
547;1220230001;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR NAPATI;1220230005;1206080021;JUNIN;SATIPO;RIO TAMBO;NAPATI;12;LA MERCED;109;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Selva;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Selva;PROYECTOS EN EJECUCIÓN;1/08/2023;(en blanco); 1,496,000 ; 220 
548;0820230002;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR IMAZA;0820230002;1604040024;LORETO;MARISCAL RAMON CASTILLA;SAN PABLO;SANTA ELENA DE IMASA;08;IQUITOS;109;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Selva;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Selva;PROYECTOS EN EJECUCIÓN;1/09/2023;(en blanco); 1,360,000 ; 200 
549;0820230001;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMÍA DE SUBSISTENCIA A MERCADOS LOCALES DEL NÚCLEO EJECUTOR SAN ANTONIO;0820230001;1604040006;LORETO;MARISCAL RAMON CASTILLA;SAN PABLO;SAN ANTONIO BAJO AMAZONAS;08;IQUITOS;109;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Selva;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Selva;PROYECTOS EN EJECUCIÓN;1/09/2023;(en blanco); 1,360,000 ; 200 
550;1820230007;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR ALTO CHURUMAZU;1820230007;1903010040;PASCO;OXAPAMPA;OXAPAMPA;ALTO CHURUMAZU;18;CERRO DE PASCO;109;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Selva;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Selva;PROYECTOS EN EJECUCIÓN;1/08/2023;(en blanco); 1,360,000 ; 200 
551;0820230003;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR SANTA FE;0820230003;1605040002;LORETO;REQUENA;EMILIO SAN MARTIN;SANTA FE;08;IQUITOS;109;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Selva;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Selva;PROYECTOS EN EJECUCIÓN;1/09/2023;(en blanco); 1,360,000 ; 200 
552;1220230005;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR CHACAYBAMBA;1220230001;1204190013;JUNIN;JAUJA;MONOBAMBA;CHACAYBAMBA;12;LA MERCED;108;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PROYECTOS EN EJECUCIÓN;1/08/2023;(en blanco); 1,284,000 ; 214 
553;1920230001;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR AMAYBAMBA;1920230002;0809110001;CUSCO;LA CONVENCION;INKAWASI;AMAYBAMBA;19;CUSCO;109;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Selva;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Selva;PROYECTOS EN EJECUCIÓN;1/08/2023;(en blanco); 1,360,000 ; 200 
554;0820230004;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR SINTICO;0820230004;1605040004;LORETO;REQUENA;EMILIO SAN MARTIN;SINTICO;08;IQUITOS;109;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Selva;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Selva;PROYECTOS EN EJECUCIÓN;1/09/2023;(en blanco); 1,360,000 ; 200 
555;1220230006;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR MONOBAMBA;1220230002;1204190001;JUNIN;JAUJA;MONOBAMBA;MONOBAMBA;12;LA MERCED;108;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PROYECTOS EN EJECUCIÓN;1/08/2023;(en blanco); 1,116,000 ; 186 
556;0220230003;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR SALITRAL 3;0220230003;2004060011;PIURA;MORROPON;SALITRAL;LA ALBERCA;02;PIURA;108;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PROYECTOS EN EJECUCIÓN;1/12/2023;(en blanco); 1,200,000 ; 200 
557;0220230002;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR SALITRAL 2;0220230006;2004060001;PIURA;MORROPON;SALITRAL;SALITRAL;02;PIURA;108;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PROYECTOS EN EJECUCIÓN;1/12/2023;(en blanco); 1,398,000 ; 233 
558;0220230001;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR SALITRAL 1;0220230005;2004060005;PIURA;MORROPON;SALITRAL;TORTOLA;02;PIURA;108;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PROYECTOS EN EJECUCIÓN;1/12/2023;(en blanco); 1,002,000 ; 167 
559;2220230009;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR PATABAMBA;2220230009;2108070036;PUNO;MELGAR;ORURILLO;PATABAMBA;22;PUNO;108;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PROYECTOS EN EJECUCIÓN;2/08/2023;(en blanco); 1,200,000 ; 200 
560;0220230007;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR LA MATANZA 3;0220230007;2004040012;PIURA;MORROPON;LA MATANZA;TIERRAS DURAS ALTO;02;PIURA;108;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PROYECTOS EN EJECUCIÓN;1/12/2023;(en blanco); 1,200,000 ; 200 
561;0620230005;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR SUCCHAPAMPA;0620230001;1309020078;LA LIBERTAD;SANCHEZ CARRION;CHUGAY;SUCCHAPAMPA;06;TRUJILLO;108;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PROYECTOS EN EJECUCIÓN;8/09/2023;(en blanco); 1,200,000 ; 200 
562;0220230009;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR FRIAS 19;0220230011;2002020100;PIURA;AYABACA;FRIAS;SAN JORGE;02;PIURA;108;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PROYECTOS EN EJECUCIÓN;1/12/2023;(en blanco); 1,320,000 ; 220 
563;0620230008;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR USCA;0620230006;1308060039;LA LIBERTAD;PATAZ;HUAYO;USCA;06;TRUJILLO;108;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PROYECTOS EN EJECUCIÓN;1/10/2023;(en blanco); 1,200,000 ; 200 
564;0220230005;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR LA MATANZA 1;0220230009;2004040007;PIURA;MORROPON;LA MATANZA;PABUR VIEJO;02;PIURA;108;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PROYECTOS EN EJECUCIÓN;1/12/2023;(en blanco); 1,200,000 ; 200 
565;1720230009;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR SAN PEDRO DE YACUHUALLCCA;1720230009;0905060019;HUANCAVELICA;CHURCAMPA;LOCROJA;SAN PEDRO (YACUHUALLCCA);17;HUANCAVELICA;108;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PROYECTOS EN EJECUCIÓN;1/08/2023;(en blanco); 1,200,000 ; 200 
566;0420230008;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR TALLAMBO;0420230006;0603080049;CAJAMARCA;CELENDIN;OXAMARCA;TALLAMBO BAJO;04;CAJAMARCA;108;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PROYECTOS EN EJECUCIÓN;2/10/2023;(en blanco); 1,200,000 ; 200 
567;1720230012;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR LAIMINA;1720230012;0901030070;HUANCAVELICA;HUANCAVELICA;ACORIA;LAIMINA;17;HUANCAVELICA;108;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PROYECTOS EN EJECUCIÓN;1/08/2023;(en blanco); 1,380,000 ; 230 
568;2220230008;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR MULLUCHINI;2220230004;2109030018;PUNO;MOHO;HUAYRAPATA;MULLUCHINI;22;PUNO;108;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PROYECTOS EN EJECUCIÓN;2/08/2023;(en blanco); 1,200,000 ; 200 
569;2520230005;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR YUPAN;2520230001;0209070001;ANCASH;CORONGO;YUPAN;YUPAN;25;CHIMBOTE;108;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PROYECTOS EN EJECUCIÓN;16/08/2023;(en blanco); 1,200,000 ; 200 
570;0520230007;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR TRITA;0520230007;0105230001;AMAZONAS;LUYA;TRITA;TRITA;05;CHACHAPOYAS;108;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PROYECTOS EN EJECUCIÓN;1/09/2023;(en blanco); 1,200,000 ; 200 
571;1020230010;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR YURAGMARCA;1020230008;1008010045;HUANUCO;PACHITEA;PANAO;YURAGMARCA;10;HUANUCO;108;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PROYECTOS EN EJECUCIÓN;1/10/2023;(en blanco); 1,500,000 ; 250 
572;1720230010;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR LA MERCED DE CHUPAS;1720230010;0905060013;HUANCAVELICA;CHURCAMPA;LOCROJA;LA MERCED DE CHUPAS;17;HUANCAVELICA;108;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PROYECTOS EN EJECUCIÓN;1/08/2023;(en blanco); 1,200,000 ; 200 
573;0620230002;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR MUMALQUITA;0620230008;1309070035;LA LIBERTAD;SANCHEZ CARRION;SARIN;MUMALQUITA;06;TRUJILLO;108;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PROYECTOS EN EJECUCIÓN;8/09/2023;(en blanco); 1,200,000 ; 200 
574;2520230001;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR PALLASCA1;2520230005;0215080001;ANCASH;PALLASCA;PALLASCA;PALLASCA;25;CHIMBOTE;108;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PROYECTOS EN EJECUCIÓN;1/08/2023;(en blanco); 1,200,000 ; 200 
575;2520230003;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR HUANDOVAL;2520230003;0215050001;ANCASH;PALLASCA;HUANDOVAL;HUANDOVAL;25;CHIMBOTE;108;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PROYECTOS EN EJECUCIÓN;1/08/2023;(en blanco); 1,200,000 ; 200 
576;1720230006;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR CAPILLAPATA;1720230008;0902060098;HUANCAVELICA;ACOBAMBA;PAUCARA;CAPILLAPATA;17;HUANCAVELICA;108;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PROYECTOS EN EJECUCIÓN;1/08/2023;(en blanco); 1,200,000 ; 200 
577;0520230008;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR SAN MIGUEL DE CRUZ PATA;0520230008;0105230006;AMAZONAS;LUYA;TRITA;SAN MIGUEL DE CRUZ PATA;05;CHACHAPOYAS;108;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PROYECTOS EN EJECUCIÓN;1/09/2023;(en blanco); 1,200,000 ; 200 
578;2220230011;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR JOCCO;2220230007;2104070151;PUNO;CHUCUITO;ZEPITA;JOCCO;22;PUNO;108;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PROYECTOS EN EJECUCIÓN;2/08/2023;(en blanco); 1,200,000 ; 200 
579;1720230011;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR HUIÑACCPAMPA;1720230011;0901030059;HUANCAVELICA;HUANCAVELICA;ACORIA;MUQUECC BAJO;17;HUANCAVELICA;108;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PROYECTOS EN EJECUCIÓN;1/08/2023;(en blanco); 1,380,000 ; 230 
580;0320230001;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR SIGUES;0320230001;1402020004;LAMBAYEQUE;FERREÑAFE;CAÑARIS;SIGUES;03;CHICLAYO;108;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PROYECTOS EN EJECUCIÓN;15/11/2023;(en blanco); 1,200,000 ; 200 
581;0620230001;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR MUNMALCA;0620230007;1309070064;LA LIBERTAD;SANCHEZ CARRION;SARIN;MUNMALCA;06;TRUJILLO;108;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PROYECTOS EN EJECUCIÓN;8/09/2023;(en blanco); 1,200,000 ; 200 
582;0420230006;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR SAN JOSE-SAN LUIS DE UÑIGAN;0420230012;0601050086;CAJAMARCA;CAJAMARCA;ENCAÑADA;SAN JOSE;04;CAJAMARCA;108;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PROYECTOS EN EJECUCIÓN;2/10/2023;(en blanco); 1,200,000 ; 200 
583;0220230008;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR LA MATANZA 4;0220230008;2004040008;PIURA;MORROPON;LA MATANZA;YECALA;02;PIURA;108;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PROYECTOS EN EJECUCIÓN;1/12/2023;(en blanco); 1,500,000 ; 250 
584;0620230006;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR EL ALIZAR;0620230002;1309020090;LA LIBERTAD;SANCHEZ CARRION;CHUGAY;EL ALIZAR;06;TRUJILLO;108;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PROYECTOS EN EJECUCIÓN;8/09/2023;(en blanco); 1,200,000 ; 200 
585;2520230004;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR BOLOGNESI;2520230004;0215020001;ANCASH;PALLASCA;BOLOGNESI;BOLOGNESI;25;CHIMBOTE;108;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PROYECTOS EN EJECUCIÓN;1/08/2023;(en blanco); 1,200,000 ; 200 
586;2220230010;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR BUENOS AIRES;2220230010;2108070073;PUNO;MELGAR;ORURILLO;BUENOS AIRES;22;PUNO;108;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PROYECTOS EN EJECUCIÓN;2/08/2023;(en blanco); 1,200,000 ; 200 
587;0220230010;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR FRIAS 20;0220230012;2002020102;PIURA;AYABACA;FRIAS;BAJO HUALA;02;PIURA;108;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PROYECTOS EN EJECUCIÓN;1/12/2023;(en blanco); 1,200,000 ; 200 
588;0320230002;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR CAÑARIS;0320230002;1402020001;LAMBAYEQUE;FERREÑAFE;CAÑARIS;CAÑARIS;03;CHICLAYO;108;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PROYECTOS EN EJECUCIÓN;15/11/2023;(en blanco); 1,200,000 ; 200 
589;2520230006;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR BAMBAS;2520230002;0209030004;ANCASH;CORONGO;BAMBAS;PILLIPAMPA;25;CHIMBOTE;108;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PROYECTOS EN EJECUCIÓN;16/08/2023;(en blanco); 1,200,000 ; 200 
590;0420230007;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR PIOBAMBA;0420230005;0603080053;CAJAMARCA;CELENDIN;OXAMARCA;PIOBAMBA;04;CAJAMARCA;108;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PROYECTOS EN EJECUCIÓN;2/10/2023;(en blanco); 1,200,000 ; 200 
591;2220230006;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR HUARACUYO;2220230012;2110040029;PUNO;SAN ANTONIO DE PUTINA;QUILCAPUNCU;HUARACUYO;22;PUNO;108;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PROYECTOS EN EJECUCIÓN;3/08/2023;(en blanco); 1,200,000 ; 200 
592;1720230007;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR HUANCA HUANCA SECTOR 1;1720230001;0903070001;HUANCAVELICA;ANGARAES;HUANCA-HUANCA;HUANCA HUANCA;17;HUANCAVELICA;108;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PROYECTOS EN EJECUCIÓN;1/08/2023;(en blanco); 1,020,000 ; 170 
593;2220230005;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR TIRAPUNCO;2220230011;2110040013;PUNO;SAN ANTONIO DE PUTINA;QUILCAPUNCU;TIRAPUNCO;22;PUNO;108;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PROYECTOS EN EJECUCIÓN;3/08/2023;(en blanco); 1,200,000 ; 200 
594;0220230004;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR SALITRAL 4;0220230004;2004060022;PIURA;MORROPON;SALITRAL;SANTA ROSA;02;PIURA;108;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PROYECTOS EN EJECUCIÓN;1/12/2023;(en blanco); 1,200,000 ; 200 
595;0420230003;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR MARAYPAMPA - PEÑA BLANCA;0420230001;0612040017;CAJAMARCA;SAN PABLO;TUMBADEN;MARAYPAMPA;04;CAJAMARCA;108;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PROYECTOS EN EJECUCIÓN;2/10/2023;(en blanco); 1,200,000 ; 200 
596;0420230002;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR TUÑAD;0420230004;0612020015;CAJAMARCA;SAN PABLO;SAN BERNARDINO;TUÑAD;04;CAJAMARCA;108;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PROYECTOS EN EJECUCIÓN;2/10/2023;(en blanco); 1,200,000 ; 200 
597;0220230006;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR LA MATANZA 2;0220230010;2004040011;PIURA;MORROPON;LA MATANZA;CRUZ VERDE;02;PIURA;108;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PROYECTOS EN EJECUCIÓN;1/12/2023;(en blanco); 1,200,000 ; 200 
598;0620230004;PP 0118: ACCESO DE LOS HOGARES RURALES CON ECONOMIAS DE SUBSISTENCIA A MERCADOS LOCALES DEL NUCLEO EJECUTOR SANTA CLARA DE TULPO;0620230004;1310040012;LA LIBERTAD;SANTIAGO DE CHUCO;MOLLEBAMBA;SANTA CLARA DE TULPO (TULPO);06;TRUJILLO;108;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PP Acceso de Hogares Rurales a Mercados Loc. 2023-RO Sierra;PROYECTOS EN EJECUCIÓN;8/09/2023;(en blanco); 1,200,000 ; 200 
